City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
284,Wanning,CN,18.8003,110.3967,79.75,88,100,3.22,overcast clouds
285,Sibu,MY,2.3,111.8167,77.31,94,40,3.44,scattered clouds
286,Tamluk,IN,22.3,87.9167,80.01,89,44,7.09,light rain
287,Nanortalik,GL,60.1432,-45.2371,49.14,56,94,21.23,overcast clouds
288,Wewak,PG,-3.5534,143.6268,83.64,71,63,6.73,broken clouds
289,Port Lincoln,AU,-34.7333,135.8667,54.81,60,59,14.74,broken clouds
290,Nador,MA,35.174,-2.9287,82.65,36,0,6.91,clear sky
291,Veraval,IN,20.9,70.3667,79.79,87,6,9.22,clear sky
292,Mahebourg,MU,-20.4081,57.7,65.25,68,1,12.95,clear sky
293,Cockburn Town,TC,21.4612,-71.1419,82.96,75,4,16.98,clear sky
294,San Quintin,MX,30.4833,-115.95,81.36,60,2,11.05,clear sky
295,Sinnamary,GF,5.3833,-52.95,80.17,83,88,13.04,overcast clouds
296,Lensk,RU,60.7253,114.9278,44.85,80,93,4.94,overcast clouds
297,Egvekinot,RU,66.3167,-179.1667,39.63,74,72,5.26,broken clouds
298,Coihaique,CL,-45.5752,-72.0662,47.01,76,75,6.91,broken clouds
299,Atambua,ID,-9.1061,124.8925,79.43,63,13,2.64,few clouds
300,Isla Vista,US,34.4133,-119.861,103.3,37,6,6.42,clear sky
301,Yaan,NG,7.3833,8.5667,68.04,96,99,3.58,overcast clouds
302,Fare,PF,-16.7,-151.0167,78.69,66,0,19.19,clear sky
303,Novikovo,RU,51.1537,37.8879,48.42,55,100,5.3,overcast clouds
304,Batticaloa,LK,7.7102,81.6924,79.27,78,43,1.57,scattered clouds
305,Isangel,VU,-19.55,169.2667,77.13,59,93,12.46,overcast clouds
306,Forest,US,37.3638,-79.2897,76.91,78,0,0.0,clear sky
307,Cravo Norte,CO,6.3017,-70.2041,80.11,77,81,4.81,broken clouds
308,Kamina,CD,-8.7386,24.9906,70.95,51,100,3.91,overcast clouds
309,Lorengau,PG,-2.0226,147.2712,84.15,67,92,8.7,overcast clouds
310,Pacific Grove,US,36.6177,-121.9166,89.38,87,20,9.22,few clouds
311,Spassk,RU,52.747,87.7545,51.04,97,97,1.81,overcast clouds
312,Bowen,AU,-20.0167,148.2333,70.75,75,100,15.43,overcast clouds
313,Cabo San Lucas,MX,22.8909,-109.9124,83.61,92,100,19.57,overcast clouds
314,Luwuk,ID,-0.9516,122.7875,82.22,74,27,5.53,scattered clouds
315,Aksay,RU,47.26,39.87,68.25,26,0,13.0,clear sky
316,San-Pedro,CI,4.7485,-6.6363,73.11,96,12,4.92,few clouds
317,Riwaka,NZ,-41.0833,173.0,62.19,55,99,3.11,moderate rain
318,Tura,IN,25.5198,90.2201,73.26,98,97,5.93,overcast clouds
319,Tanout,NE,14.9709,8.8879,86.76,42,94,7.11,overcast clouds
320,Yuscaran,HN,13.9333,-86.85,69.66,82,89,3.47,overcast clouds
321,Talnakh,RU,69.4865,88.3972,41.81,77,99,0.87,overcast clouds
322,Gari,RU,59.4307,62.3497,48.47,95,9,8.28,clear sky
323,Zverinogolovskoye,RU,54.4586,64.8542,62.8,80,55,8.7,light rain
324,Sharlyk,RU,52.9167,54.75,55.98,41,51,5.88,broken clouds
325,Sumkino,RU,58.1108,68.3244,59.29,87,100,5.61,overcast clouds
326,Lyubech,UA,51.7026,30.6569,46.06,57,100,5.84,overcast clouds
327,Umm Lajj,SA,25.0213,37.2685,84.11,82,79,13.27,broken clouds
328,Tiarei,PF,-17.5333,-149.3333,82.42,71,9,19.35,clear sky
329,Tyup,KG,42.7276,78.3648,54.25,35,0,4.72,clear sky
330,Kon Tum,VN,14.35,108.0,72.43,96,88,0.96,overcast clouds
331,Huanren,CN,41.2647,125.3667,67.28,79,19,1.81,few clouds
332,Khash,IR,28.2211,61.2158,70.36,12,0,3.6,clear sky
333,Springbok,ZA,-29.6643,17.8865,38.71,88,34,1.7,scattered clouds
334,Mar Del Plata,AR,-38.0023,-57.5575,45.88,75,0,4.0,mist
335,Male,MV,4.1748,73.5089,78.75,89,75,26.46,broken clouds
336,Whitehorse,CA,60.7161,-135.0538,57.97,65,100,13.8,overcast clouds
337,Puerto Narino,CO,-3.7703,-70.3831,77.85,75,69,3.87,broken clouds
338,Pleshanovo,RU,52.8333,53.4833,51.55,48,53,5.57,broken clouds
339,Zhangye,CN,38.9342,100.4517,64.99,33,94,0.29,overcast clouds
340,Tucurui,BR,-3.7661,-49.6725,77.74,47,12,1.88,few clouds
341,Kieta,PG,-6.2167,155.6333,83.82,69,98,2.68,overcast clouds
342,Boyolangu,ID,-8.1181,111.8935,76.26,87,57,5.03,broken clouds
343,Gaeta,IT,41.2183,13.5628,70.74,85,7,2.8,clear sky
344,Ylivieska,FI,64.0833,24.55,43.88,95,86,4.14,overcast clouds
